,year,state,state_abbr,county,commodity,AREA HARVESTED,AREA PLANTED,PRODUCTION,YIELD
168,2021,WASHINGTON,WA,GRANT,WHEAT,7850.0,8400.0,790000.0,100.6
169,2021,WASHINGTON,WA,KLICKITAT,WHEAT,16800.0,19500.0,222000.0,13.2
170,2021,WASHINGTON,WA,LINCOLN,WHEAT,117900.0,125000.0,2830000.0,24.0
171,2021,WASHINGTON,WA,OKANOGAN,WHEAT,3530.0,3800.0,46900.0,13.3
172,2021,WASHINGTON,WA,OTHER COUNTIES,WHEAT,39300.0,44700.0,763800.0,19.4
173,2021,WASHINGTON,WA,SPOKANE,WHEAT,64100.0,68500.0,1820000.0,28.4
174,2021,WASHINGTON,WA,WALLA WALLA,WHEAT,24700.0,26000.0,1205000.0,48.8
175,2021,WASHINGTON,WA,WHITMAN,WHEAT,197000.0,210000.0,6555000.0,33.3
176,2021,WASHINGTON,WA,YAKIMA,WHEAT,4320.0,5200.0,178000.0,41.2
177,2022,IDAHO,ID,ADA,WHEAT,1710.0,1800.0,181000.0,105.8
178,2022,IDAHO,ID,BINGHAM,WHEAT,38200.0,40200.0,4133000.0,108.2
179,2022,IDAHO,ID,BONNEVILLE,WHEAT,33300.0,35800.0,2011000.0,60.4
180,2022,IDAHO,ID,CAMAS,WHEAT,3700.0,3900.0,200000.0,54.1
181,2022,IDAHO,ID,CANYON,WHEAT,4360.0,4600.0,401000.0,92.0
182,2022,IDAHO,ID,CARIBOU,WHEAT,17800.0,18700.0,684000.0,38.4
183,2022,IDAHO,ID,CLARK,WHEAT,5790.0,6100.0,570000.0,98.4
184,2022,IDAHO,ID,FRANKLIN,WHEAT,3390.0,3600.0,192000.0,56.6
185,2022,IDAHO,ID,IDAHO,WHEAT,12600.0,13300.0,616000.0,48.9
186,2022,IDAHO,ID,JEFFERSON,WHEAT,22200.0,23300.0,2145000.0,96.6
187,2022,IDAHO,ID,MADISON,WHEAT,41800.0,44100.0,4289000.0,102.6
188,2022,IDAHO,ID,OTHER COUNTIES,WHEAT,171480.0,180600.0,13312700.0,77.6
189,2022,IDAHO,ID,TWIN FALLS,WHEAT,3100.0,3300.0,381000.0,122.9
190,2022,IDAHO,ID,WASHINGTON,WHEAT,570.0,700.0,44300.0,77.7
191,2022,MINNESOTA,MN,BECKER,WHEAT,23800.0,24600.0,1428000.0,60.0
192,2022,MINNESOTA,MN,BELTRAMI,WHEAT,9110.0,9400.0,553000.0,60.7
193,2022,MINNESOTA,MN,BIG STONE,WHEAT,1940.0,2000.0,80300.0,41.4
194,2022,MINNESOTA,MN,BLUE EARTH,WHEAT,290.0,300.0,14400.0,49.7
195,2022,MINNESOTA,MN,CARVER,WHEAT,680.0,700.0,26500.0,39.0
196,2022,MINNESOTA,MN,CHIPPEWA,WHEAT,1360.0,1400.0,60100.0,44.2
197,2022,MINNESOTA,MN,CLAY,WHEAT,67100.0,69400.0,4227000.0,63.0
198,2022,MINNESOTA,MN,COTTONWOOD,WHEAT,970.0,1000.0,50300.0,51.9
199,2022,MINNESOTA,MN,DAKOTA,WHEAT,680.0,700.0,25900.0,38.1
200,2022,MINNESOTA,MN,DOUGLAS,WHEAT,6870.0,7100.0,301000.0,43.8
201,2022,MINNESOTA,MN,KANDIYOHI,WHEAT,1140.0,1200.0,43800.0,38.4
202,2022,MINNESOTA,MN,KITTSON,WHEAT,132000.0,136000.0,7995000.0,60.6
203,2022,MINNESOTA,MN,LAKE OF THE WOODS,WHEAT,7550.0,7800.0,453000.0,60.0
204,2022,MINNESOTA,MN,LE SUEUR,WHEAT,480.0,500.0,23800.0,49.6
205,2022,MINNESOTA,MN,LYON,WHEAT,1550.0,1600.0,81200.0,52.4
206,2022,MINNESOTA,MN,MAHNOMEN,WHEAT,34700.0,35900.0,2158000.0,62.2
207,2022,MINNESOTA,MN,MARSHALL,WHEAT,190500.0,196000.0,11414000.0,59.9
208,2022,MINNESOTA,MN,MORRISON,WHEAT,1360.0,1400.0,50900.0,37.4
209,2022,MINNESOTA,MN,NICOLLET,WHEAT,390.0,400.0,20300.0,52.1
210,2022,MINNESOTA,MN,NORMAN,WHEAT,89100.0,92100.0,5658000.0,63.5
211,2022,MINNESOTA,MN,OTHER COUNTIES,WHEAT,123730.0,128000.0,7218900.0,58.3
212,2022,MINNESOTA,MN,OTTER TAIL,WHEAT,21200.0,21900.0,1002000.0,47.3
213,2022,MINNESOTA,MN,POLK,WHEAT,263000.0,272000.0,17262000.0,65.6
214,2022,MINNESOTA,MN,POPE,WHEAT,4750.0,4900.0,192000.0,40.4
215,2022,MINNESOTA,MN,RED LAKE,WHEAT,60100.0,62200.0,3612000.0,60.1
216,2022,MINNESOTA,MN,RENVILLE,WHEAT,1650.0,1700.0,81800.0,49.6
217,2022,MINNESOTA,MN,RICE,WHEAT,490.0,500.0,24700.0,50.4
218,2022,MINNESOTA,MN,ROSEAU,WHEAT,96400.0,99700.0,6243000.0,64.8
219,2022,MINNESOTA,MN,SIBLEY,WHEAT,680.0,700.0,35100.0,51.6
220,2022,MINNESOTA,MN,STEVENS,WHEAT,3210.0,3300.0,165000.0,51.4
221,2022,MINNESOTA,MN,TODD,WHEAT,2230.0,2300.0,85200.0,38.2
222,2022,MINNESOTA,MN,WADENA,WHEAT,860.0,900.0,32900.0,38.3
223,2022,MINNESOTA,MN,WATONWAN,WHEAT,290.0,300.0,13100.0,45.2
224,2022,MINNESOTA,MN,WILKIN,WHEAT,57500.0,59600.0,3088000.0,53.7
225,2022,MINNESOTA,MN,WINONA,WHEAT,320.0,400.0,12800.0,40.0
226,2022,MINNESOTA,MN,WRIGHT,WHEAT,2020.0,2100.0,77000.0,38.1
227,2022,MONTANA,MT,BIG HORN,WHEAT,6800.0,7900.0,255000.0,37.5
228,2022,MONTANA,MT,BLAINE,WHEAT,150000.0,167000.0,3498000.0,23.3
229,2022,MONTANA,MT,BROADWATER,WHEAT,9100.0,9200.0,291000.0,32.0
230,2022,MONTANA,MT,CASCADE,WHEAT,21000.0,21000.0,374000.0,17.8
231,2022,MONTANA,MT,CHOUTEAU,WHEAT,94700.0,111500.0,1979000.0,20.9
232,2022,MONTANA,MT,CUSTER,WHEAT,3700.0,3900.0,62100.0,16.8
233,2022,MONTANA,MT,DANIELS,WHEAT,137500.0,148500.0,3589000.0,26.1
