,year,state,state_abbr,county,commodity,AREA HARVESTED grain,AREA HARVESTED silage,AREA PLANTED,PRODUCTION grain,PRODUCTION silage,YIELD grain,YIELD silage
28,2021,ALABAMA,AL,WILCOX,CORN,1930.0,,2000.0,267000.0,,138.3,
29,2021,ARKANSAS,AR,ARKANSAS,CORN,53400.0,,53900.0,10149000.0,,190.1,
30,2021,ARKANSAS,AR,ASHLEY,CORN,38900.0,,39500.0,7235000.0,,186.0,
31,2021,ARKANSAS,AR,CHICOT,CORN,35800.0,,37000.0,6512000.0,,181.9,
32,2021,ARKANSAS,AR,CONWAY,CORN,3290.0,,3800.0,531000.0,,161.4,
33,2021,ARKANSAS,AR,CRITTENDEN,CORN,21400.0,,21900.0,4021000.0,,187.9,
34,2021,ARKANSAS,AR,CROSS,CORN,23800.0,,24400.0,4620000.0,,194.1,
35,2021,ARKANSAS,AR,DESHA,CORN,37000.0,,38400.0,6882000.0,,186.0,
36,2021,ARKANSAS,AR,DREW,CORN,17200.0,,17900.0,3130000.0,,182.0,
37,2021,ARKANSAS,AR,JACKSON,CORN,18400.0,,18900.0,3380000.0,,183.7,
38,2021,ARKANSAS,AR,JEFFERSON,CORN,42900.0,,43300.0,8151000.0,,190.0,
39,2021,ARKANSAS,AR,JOHNSON,CORN,2000.0,,2100.0,283000.0,,141.5,
40,2021,ARKANSAS,AR,LAFAYETTE,CORN,13100.0,,13500.0,1977000.0,,150.9,
41,2021,ARKANSAS,AR,LEE,CORN,54100.0,,54600.0,10084000.0,,186.4,
42,2021,ARKANSAS,AR,LINCOLN,CORN,20300.0,,21300.0,3668000.0,,180.7,
43,2021,ARKANSAS,AR,LOGAN,CORN,2050.0,,2200.0,331000.0,,161.5,
44,2021,ARKANSAS,AR,LONOKE,CORN,43300.0,,43600.0,8218000.0,,189.8,
45,2021,ARKANSAS,AR,MONROE,CORN,31900.0,,32200.0,5544000.0,,173.8,
46,2021,ARKANSAS,AR,OTHER COUNTIES,CORN,199770.0,,207700.0,36488000.0,,182.7,
47,2021,ARKANSAS,AR,PHILLIPS,CORN,44700.0,,45600.0,8337000.0,,186.5,
48,2021,ARKANSAS,AR,POINSETT,CORN,31400.0,,31600.0,5545000.0,,176.6,
49,2021,ARKANSAS,AR,PRAIRIE,CORN,25700.0,,26300.0,4857000.0,,189.0,
50,2021,ARKANSAS,AR,SAINT FRANCIS,CORN,35000.0,,35200.0,6262000.0,,178.9,
51,2021,ARKANSAS,AR,WHITE,CORN,6650.0,,6800.0,1232000.0,,185.3,
52,2021,ARKANSAS,AR,WOODRUFF,CORN,24200.0,,24400.0,4695000.0,,194.0,
53,2021,ARKANSAS,AR,YELL,CORN,3740.0,,3900.0,588000.0,,157.2,
54,2021,CALIFORNIA,CA,COLUSA,CORN,1440.0,,2000.0,281000.0,,195.1,
55,2021,CALIFORNIA,CA,FRESNO,CORN,,25000.0,,,638000.0,,25.5
56,2021,CALIFORNIA,CA,GLENN,CORN,,4300.0,,,123000.0,,28.5
57,2021,CALIFORNIA,CA,HUMBOLDT,CORN,,,100.0,,,,
58,2021,CALIFORNIA,CA,KERN,CORN,3130.0,24800.0,28100.0,504000.0,620000.0,161.0,25.0
59,2021,CALIFORNIA,CA,KINGS,CORN,,46300.0,,,1236000.0,,26.5
60,2021,CALIFORNIA,CA,MADERA,CORN,,10100.0,10100.0,,308000.0,,30.5
61,2021,CALIFORNIA,CA,MERCED,CORN,,58500.0,,,1697000.0,,29.0
